model_type,horizon,split,score_type,score
Tuned,3,2,auprc,0.5054881039980378
Tuned,2,2,auprc,0.5306760632131308
Tuned,1,2,auprc,0.5432552735657595
Tuned,0,2,auprc,0.5555854241338113
Tuned,7,2,aucroc,0.6798066448801743
Tuned,6,2,aucroc,0.6780626780626781
Tuned,5,2,aucroc,0.6790236305775611
Tuned,4,2,aucroc,0.6892403352257368
Tuned,3,2,aucroc,0.7087542087542088
Tuned,2,2,aucroc,0.7339428035630567
Tuned,1,2,aucroc,0.750049691910157
Tuned,0,2,aucroc,0.7596518780264363
Average,7,2,auprc,0.5049857549857549
Average,6,2,auprc,0.5171612751992498
Average,5,2,auprc,0.5308153411314809
Average,4,2,auprc,0.5214178048480375
Average,3,2,auprc,0.5642478185343105
Average,2,2,auprc,0.6117846702690195
Average,1,2,auprc,0.6317896199625401
Average,0,2,auprc,0.6496071714834476
Average,7,2,aucroc,0.7438385076252723
Average,6,2,aucroc,0.7532560032560033
Average,5,2,aucroc,0.7579050714334078
Average,4,2,aucroc,0.7496282779129494
Average,3,2,aucroc,0.7793602693602694
Average,2,2,aucroc,0.8165896457035697
Average,1,2,aucroc,0.8345921950573113
Average,0,2,aucroc,0.8460607250359901
Softmax,7,2,auprc,0.36504397373962594
Softmax,6,2,auprc,0.39555555555555555
Softmax,5,2,auprc,0.3954889998151229
Softmax,4,2,auprc,0.42203317784713135
Softmax,3,2,auprc,0.4537220995830267
Softmax,2,2,auprc,0.4756017062442104
Softmax,1,2,auprc,0.47523082922756665
Softmax,0,2,auprc,0.5126918481757191
Softmax,7,2,aucroc,0.542619825708061
Softmax,6,2,aucroc,0.5518925518925519
Softmax,5,2,aucroc,0.5518992484257567
Softmax,4,2,aucroc,0.5611651797783184
Softmax,3,2,aucroc,0.562087542087542
Softmax,2,2,aucroc,0.5713615966780523
Softmax,1,2,aucroc,0.5713907109255946
Softmax,0,2,aucroc,0.5899424159141473
Reversed softmax,7,2,auprc,0.45783215005182964
Reversed softmax,6,2,auprc,0.4654040404040404
Reversed softmax,5,2,auprc,0.48708941886978496
Reversed softmax,4,2,auprc,0.5047372954349698
Reversed softmax,3,2,auprc,0.4919897241263571
Reversed softmax,2,2,auprc,0.49724052718286654
Reversed softmax,1,2,auprc,0.5099746337946001
Reversed softmax,0,2,auprc,0.5687596961429412
Reversed softmax,7,2,aucroc,0.691891339869281
Reversed softmax,6,2,aucroc,0.6938339438339438
Reversed softmax,5,2,aucroc,0.7049732547904395
Reversed softmax,4,2,aucroc,0.7151932954852662
Reversed softmax,3,2,aucroc,0.7125589225589225
Reversed softmax,2,2,aucroc,0.7201627486437612
Reversed softmax,1,2,aucroc,0.7297422646259856
Reversed softmax,0,2,aucroc,0.7755202198665097
